organization,state,group1,records,year,source,group,Business Associate Present
"Trusted Health Plans, Inc.",DC,Health Plan,200665,2021,Hacking,Network Server,No
PIH Health,CA,Healthcare Provider,199548,2020,Hacking,Email,No
Allina Health,MN,Healthcare Provider,199389,2020,Hacking,Network Server,Yes
"Centrelake Medical Group, Inc.",CA,Healthcare Provider,197661,2019,Hacking,Network Server,No
Presbyterian Healthcare Services,NM,Healthcare Provider,193223,2020,Hacking,Other,Yes
"Communities Connected for Kids, Inc. ",FL,Business Associate,192041,2019,Hacking,Network Server,Yes
Roper St. Francis Healthcare,SC,Healthcare Provider,189761,2021,Hacking,Email,No
University of Missouri Health Care,MO,Healthcare Provider,189736,2021,Hacking,Email,No
"Daniel J. Edelman Holdings, Inc.",IL,Health Plan,184500,2021,Hacking,Network Server,Yes
The Christ Hospital Health Network,OH,Healthcare Provider,183265,2020,Hacking,Network Server,Yes
"USV Optical, Inc.",NJ,Healthcare Provider,180000,2021,Hacking,Network Server,No
MultiCare Health System,WA,Healthcare Provider,179189,2020,Hacking,Network Server,Yes
Warby Parker Inc. (f/k/a JAND Inc. d/b/a Warby Parker),NY,Healthcare Provider,177890,2019,Hacking,Network Server,No
Crozer-Keystone Health System,PA,Healthcare Provider,177023,2020,Hacking,Network Server,No
Lawrence General Hospital,MA,Healthcare Provider,176587,2020,Hacking,Network Server,No
"Peachtree Neurological Clinic, P.C.",GA,Healthcare Provider,176295,2017,Hacking,Network Server,No
Stony Brook University Hospital,NY,Healthcare Provider,175191,2020,Hacking,Network Server,Yes
"Inform Diagnostics, Inc.",TX,Healthcare Provider,173617,2019,Hacking,Network Server,Yes
Metro Infectious Disease Consultants,IL,Healthcare Provider,171740,2021,Hacking,Email,No
"BST & Co. CPAs, LLP",NY,Business Associate,170000,2020,Hacking,Network Server,Yes
"Kaiser Health Plan, Southern California",CA,Health Plan,167095,2020,Unauthorized Access,Paper/Films,No
Aveanna Healthcare,GA,Healthcare Provider,166077,2020,Hacking,Email,No
"HealthEquity, Inc.",UT,Business Associate,165800,2018,Hacking,Email,Yes
Atrium Health,NC,Healthcare Provider,165000,2020,Hacking,Network Server,Yes
Wyoming Department of Health,WY,Health Plan,164010,2021,Unauthorized Access,Network Server,No
University of Kentucky HealthCare,KY,Healthcare Provider,163774,2020,Hacking,Network Server,Yes
"Gastroenterology Consultants, PA",TX,Healthcare Provider,161698,2021,Hacking,Network Server,No
Children's Minnesota,MN,Healthcare Provider,160268,2020,Hacking,Network Server,Yes
"Empi Inc and DJO, LLC",MN,Healthcare Provider,160000,2015,Theft/Loss,Computer ,No
Apple Valley Clinic,MN,Healthcare Provider,157939,2021,Hacking,Network Server,Yes
Five Rivers Health Centers,OH,Healthcare Provider,155748,2021,Hacking,Email,No
San Diego Family Care,CA,Healthcare Provider,154513,2021,Hacking,Network Server,Yes
"HME Specialists, LLC dba Home Medical Equipment Holdco, LLC",NM,Healthcare Provider,153013,2021,Hacking,Email,No
Betty Jean Kerr People's Health Centers,MO,Healthcare Provider,152000,2019,Hacking,Network Server,No
Advantage Consolidated LLC,OR,Healthcare Provider,151626,2015,Hacking,Other,No
"Community Eye Care, LLC",NC,Health Plan,149804,2021,Hacking,Email,No
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,149126,2020,Hacking,Network Server,Yes
"Utah Pathology Services, Inc.",UT,Healthcare Provider,148594,2020,Hacking,Email,No
Scripps Health,CA,Healthcare Provider,147267,2021,Hacking,Network Server,No
Simon Eye Management,DE,Healthcare Provider,144373,2021,Hacking,Email,No
"CBLPath, Inc.",NY,Healthcare Provider,141956,2019,Unauthorized Access,Network Server,No
"EyeCare Partners, LLC [on behalf of affiliated covered entities]",MO,Healthcare Provider,141165,2019,Hacking,Network Server,No
"Health Aid of Ohio, Inc.",OH,Healthcare Provider,141149,2021,Hacking,Network Server,No
"Tandem Diabetes Care, Inc.",CA,Healthcare Provider,140781,2020,Hacking,Email,No
"Laboratory Medicine Consultants, Ltd.",NV,Healthcare Provider,140590,2019,Hacking,Network Server,No
Kalispell Regional Healthcare,MT,Healthcare Provider,140209,2019,Hacking,Email,No
SEIU 775 Benefits Group,WA,Business Associate,140000,2021,Hacking,Network Server,Yes
Imperium Health LLC,KY,Business Associate,139114,2020,Hacking,Email,Yes
"Total Vision, LLC",CA,Business Associate,138402,2021,Hacking,Network Server,Yes
The Urology Center of Colorado,CO,Healthcare Provider,137820,2021,Hacking,Network Server,No
GenRx Pharmacy,AZ,Healthcare Provider,137110,2021,Hacking,Network Server,No
University of Florida Health,FL,Healthcare Provider,135959,2020,Hacking,Network Server,Yes
Med-Data Incorporated,TX,Business Associate,135908,2021,Unauthorized Access,Other,Yes
Saint Alphonsus Health System,ID,Healthcare Provider,134906,2021,Hacking,Email,No
St. Peter's Ambulatory Surgery Center LLC - d/b/a St. Peter's Surgery & Endoscopy Center,NY,Healthcare Provider,134512,2018,Hacking,Network Server,No
"Brandywine Urology Consultants, PA",DE,Healthcare Provider,131825,2020,Hacking,Network Server,No
"Behavioral Health Network, Inc.",MA,Healthcare Provider,129571,2020,Hacking,Network Server,No
North Oklahoma County Mental Health Center d/b/a NorthCare,OK,Healthcare Provider,128556,2021,Hacking,Network Server,No
"New York Oncology Hematology, P.C.",NY,Healthcare Provider,128400,2018,Hacking,Email,No
Arkansas Oral & Facial Surgery Center,AR,Healthcare Provider,128000,2017,Hacking,Network Server,No
The Centers for Advanced Orthopaedics,MD,Healthcare Provider,125291,2021,Hacking,Email,No
"Ivy Rehab Network, Inc. and its affiliated companies",NY,Healthcare Provider,125000,2019,Hacking,Email,No
HealthReach Community Health Centers,ME,Healthcare Provider,122340,2021,Improper Disposal,Network Server,No
Dallas County Mental Health Mental Retardation Center dba Metrocare Services,TX,Healthcare Provider,120259,2017,Hacking,Email,No
Sisters of Charity of St. Augustine Health System ,OH,Healthcare Provider,118874,2020,Hacking,Network Server,Yes
Ramsey County,MN,Healthcare Provider,117905,2019,Hacking,Email,No
"Timberline Billing Service, LLC",IA,Business Associate,117088,2021,Hacking,Network Server,Yes
"Imperial Health, LLP",LA,Healthcare Provider,116262,2019,Hacking,Computer ,No
LifeLong Medical Care,CA,Healthcare Provider,115448,2021,Hacking,Network Server,Yes
Wisconsin Diagnostic Laboratories,WI,Healthcare Provider,114985,2019,Hacking,Other,Yes
"Wilmington Surgical Associates, P.A.",NC,Healthcare Provider,114834,2021,Hacking,Network Server,No
"Truman Medical Center, Incorporated",MO,Healthcare Provider,114466,2019,Theft/Loss,Computer ,No
"Solara Medical Supplies, LLC",CA,Healthcare Provider,114007,2019,Hacking,Email,No
Community Mercy Health Partners,OH,Healthcare Provider,113528,2016,Improper Disposal,Paper/Films,No
Beaumont Health,MI,Healthcare Provider,112211,2020,Hacking,Email,No
Centerstone Insurance and Financial Services (d/b/a BenefitMall),TX,Business Associate,111589,2019,Hacking,Email,Yes
"Piedmont Healthcare, Inc.",GA,Healthcare Provider,111588,2020,Hacking,Network Server,Yes
"CompuNet Clinical Laboratories, LLC",OH,Healthcare Provider,111555,2019,Hacking,Other,Yes
Meridian Health Services Corp.,IN,Healthcare Provider,111372,2020,Hacking,Email,No
Overlake Medical Center & Clinics,WA,Healthcare Provider,109234,2020,Hacking,Email,No
Saint Francis Medical Center,MO,Healthcare Provider,107054,2019,Hacking,Network Server,No
Southern Orthopaedic Associates d/b/a Orthopaedic Institute of Western Kentucky ,KY,Healthcare Provider,106910,2021,Hacking,Email,No
"McLaren Medical Group, Mid-Michigan Physicians Imaging Center",MI,Healthcare Provider,106008,2017,Hacking,Network Server,No
"Talley Medical Surgical Eyecare Associates, PC",IN,Healthcare Provider,106000,2019,Unauthorized Access,Computer ,No
Boys Town National Research Hospital,NE,Healthcare Provider,105309,2018,Hacking,Email,No
Cancer Treatment Centers of America at Midwestern Regional Medical Center,IL,Healthcare Provider,104808,2021,Hacking,Email,No
Sound Generations,WA,Business Associate,103576,2021,Hacking,Network Server,Yes
"Dynasplint Systems, Inc.",MD,Healthcare Provider,102800,2020,Hacking,Network Server,No
Merit Health Insurance Company,IL,Health Plan,102748,2020,Hacking,Email,No
RCCA MSO LLC,NJ,Business Associate,102000,2019,Hacking,Email,Yes
"BW Homecare Holdings, LLC d.b.a. Elara Caring ",TX,Healthcare Provider,100487,2021,Hacking,Email,No
RF EYE PC dba Cochise Eye and Laser,AZ,Healthcare Provider,100000,2021,Hacking,Network Server,No
Alamance Skin Center,NC,Healthcare Provider,100000,2021,Hacking,Network Server,No
"CareATC, Inc.",OK,Healthcare Provider,98774,2021,Hacking,Email,No
Mowery Clinic LLC,KS,Healthcare Provider,96000,2021,Hacking,Network Server,No
Moffitt Cancer Center,FL,Healthcare Provider,95695,2020,Hacking,Network Server,Yes
UC Health,OH,Healthcare Provider,95339,2019,Hacking,Email,No
Greenwich Hospital,CT,Healthcare Provider,95000,2020,Hacking,Network Server,Yes
OSF HealthCare System,IL,Healthcare Provider,94171,2021,Hacking,Network Server,Yes
SCL Health Montana,CO,Healthcare Provider,93642,2020,Hacking,Network Server,Yes
Harrisburg Gastroenterology Ltd,PA,Healthcare Provider,93323,2017,Hacking,Network Server,No
Roper st. Francis Healthcare ,SC,Healthcare Provider,92963,2020,Hacking,Network Server,No
Mercy Iowa City,IA,Healthcare Provider,92795,2020,Hacking,Email,No
The Guthrie Clinic,PA,Healthcare Provider,92064,2020,Hacking,Network Server,Yes
Washington State Health Care Authority (HCA),WA,Health Plan,91187,2016,Unauthorized Access,Email,No
Jacobi Medical Center,NY,Healthcare Provider,90060,2015,Unauthorized Access,Email,No
Grays Harbor Community Hospital,WA,Healthcare Provider,88399,2019,Hacking,Network Server,No
Trillium Community Health Plan,OR,Health Plan,87761,2021,Hacking,Network Server,Yes
Mount Sinai Health System,NY,Healthcare Provider,87535,2020,Hacking,Network Server,Yes
UMass Memorial Medical Center,MA,Healthcare Provider,87404,2020,Hacking,Network Server,Yes
The Union Labor Life Insurance Company,MD,Health Plan,87400,2019,Hacking,Email,No
"Southeast Eye Institute, P.A. dba eye Associates of Pinellas",FL,Healthcare Provider,87314,2016,Hacking,Network Server,Yes
SCAN Health Plan,CA,Health Plan,87069,2016,Unauthorized Access,Other,No
Geisinger,PA,Healthcare Provider,86412,2020,Hacking,Network Server,Yes
VisionQuest Eyecare,IN,Healthcare Provider,85995,2017,Hacking,Network Server,No
Dental Center of Northwest Ohio,OH,Healthcare Provider,85874,2019,Hacking,Network Server,Yes
SalusCare,FL,Healthcare Provider,85000,2021,Hacking,Email,No
"OH Muhlenberg, LLC ",KY,Healthcare Provider,84681,2015,Hacking,Computer ,No
Guidehouse,VA,Business Associate,84220,2021,Hacking,Other,Yes
Center for Orthopaedic Specialists - Providence Medical Institute (PMI),CA,Healthcare Provider,81550,2018,Hacking,Network Server,No
Lehigh Valley Health Network,PA,Healthcare Provider,81487,2020,Hacking,Network Server,Yes
City of Philadelphia Fire Department Emergency Medical Services Unit,PA,Healthcare Provider,81463,2015,Unauthorized Access,Computer ,Yes
Tennessee Orthopaedic Alliance ,TN,Healthcare Provider,81146,2020,Hacking,Email,No
Emblem Health - GHI,NY,Health Plan,81122,2016,Unauthorized Access,Network Server,No
"Community Health Network, Inc. ",IN,Healthcare Provider,81118,2020,Hacking,Network Server,Yes
Benefis Hospitals Inc,MT,Healthcare Provider,81043,2021,Hacking,Email,No
Howard University College of Dentistry,DC,Healthcare Provider,80915,2021,Hacking,Network Server,No
Washington University School of Medicine,MO,Healthcare Provider,80270,2017,Hacking,Email,No
California Health & Wellness,CA,Health Plan,80242,2021,Hacking,Network Server,Yes
Southeastern Minnesota Oral & Maxillofacial Surgery,MN,Healthcare Provider,80000,2019,Hacking,Network Server,No
CCPOA Benefit Trust Fund,CA,Health Plan,80000,2020,Hacking,Network Server,No
Hoboken Radiology LLC,NJ,Healthcare Provider,80000,2021,Hacking,Network Server,No
"Fertility Centers of Illinois, PLLC",IL,Healthcare Provider,79943,2021,Hacking,Network Server,No
Emory Healthcare ,GA,Healthcare Provider,79930,2017,Hacking,Network Server,No
"Gore Medical Management, LLC",GA,Healthcare Provider,79100,2021,Hacking,Computer ,No
Tennessee Rural Health Improvement Association,TN,Health Plan,79000,2015,Unauthorized Access,Other,No
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,78006,2021,Hacking,Network Server,Yes
"University Health Systems of Eastern Carolina, Inc. dba Vidant Health",NC,Healthcare Provider,77942,2020,Hacking,Network Server,Yes
"Ascend Clinical, LLC",CA,Healthcare Provider,77443,2020,Hacking,Email,No
Salina Family Healthcare Center,KS,Healthcare Provider,77337,2017,Hacking,Computer ,No
Mid-Delaware Imaging,DE,Healthcare Provider,77110,2020,Unauthorized Access,Network Server,No
"Leon Medical Centers, LLC",FL,Healthcare Provider,76661,2021,Hacking,Network Server,No
Magellan Complete Care of Florida,FL,Health Plan,76236,2020,Hacking,Email,No
Montefiore Medical Center ,NY,Healthcare Provider,76068,2020,Hacking,Network Server,Yes
"CareSouth Carolina, Inc.",SC,Healthcare Provider,76035,2021,Hacking,Network Server,Yes
"Las Colinas Orthopedic Surgery & Sports Medicine, PA",TX,Healthcare Provider,76000,2019,Theft/Loss,Computer,Yes
Munson Healthcare,MI,Healthcare Provider,75202,2020,Hacking,Email,No
Stephenville Medical & Surgical Clinic,TX,Healthcare Provider,75000,2017,Unauthorized Access,Computer ,No
Atlantic Medical Imaging,NJ,Healthcare Provider,74877,2020,Hacking,Email,No
South Shore Hospital,MA,Healthcare Provider,74328,2020,Hacking,Network Server,Yes
Arizona Endocrinology Center,AZ,Healthcare Provider,74122,2020,Unauthorized Access,Network Server,No
"Agency for Community Treatment Services, Inc.",FL,Healthcare Provider,73825,2021,Hacking,Network Server,No
Memorial Sloan Kettering Cancer Center ,NY,Healthcare Provider,73536,2020,Hacking,Network Server,Yes
"Rutland Hospital, Inc. d/b/a/ Rutland Regional Medical Center  ",VT,Healthcare Provider,72224,2019,Hacking,Email,No
Walgreen Co.,IL,Healthcare Provider,72143,2020,Theft/Loss,Computer,No
Sentara Healthcare,VA,Healthcare Provider,72121,2021,Hacking,Network Server,Yes
Joslin Diabetes Center ,MA,Healthcare Provider,71160,2020,Hacking,Network Server,Yes
Summit Behavioral Healthcare,TN,Healthcare Provider,70822,2021,Unauthorized Access,Email,No
Valley Hope Association,KS,Healthcare Provider,70799,2019,Hacking,Email,No
Arizona Asthma and Allergy Institute,AZ,Healthcare Provider,70372,2021,Hacking,Network Server,No
"Tufts Associated Health Maintenance Organization, Inc.",MA,Health Plan,70320,2018,Unauthorized Access,Paper/Films,Yes
Allergy and Asthma Clinic of Fort Worth,TX,Healthcare Provider,69777,2020,Hacking,Network Server,No
North East Medical Services (NEMS),CA,Healthcare Provider,69246,2015,Theft/Loss,Computer ,No
Sonoma Valley Healthcare District,CA,Healthcare Provider,69000,2021,Hacking,Email,No
San Juan Regional Medical Center,NM,Healthcare Provider,68792,2021,Hacking,Network Server,No
